classe età,nome,frequenza
0-9,GIULIA,561
0-9,SOFIA,507
0-9,SARA,372
0-9,EMMA,276
0-9,MATILDE,262
0-9,MARTINA,257
0-9,ALICE,247
0-9,VIOLA,243
0-9,GINEVRA,232
0-9,CHIARA,221
0-9,ALESSIA,198
0-9,ANNA,195
0-9,ELENA,185
0-9,ELISA,176
0-9,BIANCA,163
0-9,AURORA,159
0-9,IRENE,156
0-9,CAMILLA,153
0-9,ELEONORA,152
0-9,GIADA,150
0-9,VITTORIA,149
0-9,MARGHERITA,149
0-9,MARTA,137
0-9,ARIANNA,131
0-9,GRETA,130
0-9,CATERINA,129
0-9,GIORGIA,128
0-9,GAIA,127
0-9,REBECCA,124
0-9,FRANCESCA,116
0-9,VALENTINA,105
0-9,NOEMI,92
0-9,LAURA,81
0-9,BENEDETTA,76
0-9,LUCREZIA,75
0-9,LINDA,73
0-9,ASIA,71
0-9,BEATRICE,68
0-9,EVA,68
0-9,GEMMA,64
0-9,LIVIA,63
0-9,LISA,62
0-9,CAROLINA,58
0-9,SERENA,57
0-9,MELISSA,57
0-9,ISABELLA,56
0-9,VIRGINIA,54
0-9,MARIA,54
0-9,COSTANZA,54
0-9,OLIVIA,53
0-9,LAVINIA,52
0-9,ADELE,51
0-9,CARLOTTA,51
0-9,ANITA,51
0-9,MIA,50
0-9,STELLA,49
0-9,ILARIA,45
0-9,LUDOVICA,45
0-9,AZZURRA,44
0-9,TERESA,43
0-9,ALLEGRA,43
0-9,ALESSANDRA,41
0-9,AGATA,41
0-9,LETIZIA,40
0-9,FEDERICA,40
0-9,SILVIA,38
0-9,NICOLE,38
0-9,ZOE,37
0-9,TESSA,36
0-9,MIRIAM,36
0-9,SABRINA,35
0-9,CLAUDIA,35
0-9,LARA,35
0-9,CLARA,35
0-9,RACHELE,34
0-9,MADDALENA,33
0-9,VANESSA,31
0-9,SVEVA,31
0-9,NORA,31
0-9,CECILIA,30
0-9,ANGELICA,30
0-9,ANGELA,30
0-9,AMBRA,30
0-9,LUNA,30
0-9,LUCIA,30
0-9,ESTER,29
0-9,DILETTA,28
0-9,MAYA,27
0-9,ELETTRA,26
0-9,ERIKA,25
0-9,CRISTINA,25
0-9,DIANA,24
0-9,MARIA VITTORIA,23
0-9,AGNESE,23
0-9,ELISABETTA,21
0-9,EMILY,21
0-9,AMELIA,21
0-9,VERONICA,21
10-19,GIULIA,574
10-19,SARA,459
10-19,CHIARA,441
10-19,MARTINA,388
10-19,SOFIA,312
10-19,ALESSIA,295
10-19,IRENE,267
10-19,FRANCESCA,258
